label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
EarphoneCase,453,1578,675,652,IMG_20260901_145008700_MP.jpg,3072,4096
ChargingCase,2334,1001,675,622,IMG_20260901_145008700_MP.jpg,3072,4096
EarphoneCase,733,1760,743,652,IMG_20260901_145011519_HDR.jpg,3072,4096
ChargingCase,1924,220,781,698,IMG_20260901_145011519_HDR.jpg,3072,4096
EarphoneCase,172,865,561,485,IMG_20260901_145015573_MP.jpg,3072,4096
ChargingCase,1902,1176,607,759,IMG_20260901_145015573_MP.jpg,3072,4096
EarphoneCase,817,523,690,683,IMG_20260901_145018860_MP.jpg,3072,4096
ChargingCase,1409,2442,516,660,IMG_20260901_145018860_MP.jpg,3072,4096
EarphoneCase,536,1608,1092,887,IMG_20260901_145023228_HDR.jpg,3072,4096
ChargingCase,1507,243,576,850,IMG_20260901_145023228_HDR.jpg,3072,4096
EarphoneCase,233,2018,698,410,IMG_20260901_145029586_HDR.jpg,3072,4096
ChargingCase,2008,2291,614,978,IMG_20260901_145029586_HDR.jpg,3072,4096
ChargingCase,112,1214,918,910,IMG_20260901_145130919_MP.jpg,3072,4096
EarphoneCase,1811,2632,1115,1198,IMG_20260901_145130919_MP.jpg,3072,4096
ChargingCase,263,1729,759,1032,IMG_20260901_145133404_MP.jpg,3072,4096
EarphoneCase,2144,1517,895,789,IMG_20260901_145133404_MP.jpg,3072,4096
EarphoneCase,1651,3004,705,683,IMG_20260901_145138406_MP.jpg,3072,4096
ChargingCase,771,2063,493,584,IMG_20260901_145138406_MP.jpg,3072,4096
ChargingCase,582,2405,501,667,IMG_20260901_145141055_MP.jpg,3072,4096
EarphoneCase,1833,2882,523,463,IMG_20260901_145141055_MP.jpg,3072,4096
EarphoneCase,1871,3026,971,850,IMG_20260901_145142892_MP.jpg,3072,4096
ChargingCase,840,1980,539,819,IMG_20260901_145142892_MP.jpg,3072,4096
ChargingCase,13,1957,842,1183,IMG_20260901_145145542_MP.jpg,3072,4096
EarphoneCase,1993,2306,918,614,IMG_20260901_145145542_MP.jpg,3072,4096
EarphoneCase,331,1965,751,690,IMG_20260901_145241328_HDR.jpg,3072,4096
ChargingCase,2053,1957,774,652,IMG_20260901_145241328_HDR.jpg,3072,4096
EarphoneCase,263,2094,774,865,IMG_20260901_145244860_HDR.jpg,3072,4096
ChargingCase,1583,721,774,857,IMG_20260901_145244860_HDR.jpg,3072,4096
EarphoneCase,445,1555,728,531,IMG_20260901_145249446_HDR.jpg,3072,4096
ChargingCase,1606,2185,751,971,IMG_20260901_145249446_HDR.jpg,3072,4096
EarphoneCase,324,1638,667,554,IMG_20260901_145251410_HDR.jpg,3072,4096
ChargingCase,1750,1441,728,728,IMG_20260901_145251410_HDR.jpg,3072,4096
EarphoneCase,278,1654,781,895,IMG_20260901_145253249_HDR.jpg,3072,4096
ChargingCase,1401,243,834,903,IMG_20260901_145253249_HDR.jpg,3072,4096
EarphoneCase,862,2890,660,728,IMG_20260901_145255426_HDR.jpg,3072,4096
ChargingCase,1431,1396,652,721,IMG_20260901_145255426_HDR.jpg,3072,4096
EarphoneCase,749,1820,781,857,IMG_20260901_145258516_HDR.jpg,3072,4096
ChargingCase,1917,463,713,925,IMG_20260901_145258516_HDR.jpg,3072,4096
ChargingCase,2023,2291,751,789,IMG_20260901_145310201_MP.jpg,3072,4096
EarphoneCase,392,2609,683,690,IMG_20260901_145310201_MP.jpg,3072,4096
EarphoneCase,256,2799,887,963,IMG_20260901_145317238_MP.jpg,3072,4096
ChargingCase,2175,1881,698,1062,IMG_20260901_145317238_MP.jpg,3072,4096
ChargingCase,2008,3057,804,978,IMG_20260901_145319249_MP.jpg,3072,4096
